Sport,Season,DataSourceName,CompetitionDataSourceId,Competition,EventID,EventNameShort,EventGender,CompetitionDate,PersonAgeDays,PersonID,Country,Competitor,CompetitorWeight,CompetitorRank,CompetitorGroup,AttemptNumber,AttemptWeight,AttemptSuccessful
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,11360,e3ac453e-b230-4ac6-b991-e385bec04895,CAN,DUMAS Rosalie,80.85,6,A,3,131,false
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,12164,a7c7d7fc-18a0-4c35-abca-fcd3ff278e91,COL,SOLIS ARBOLEDA Leidy Yessenia,80.95,0,B,2,0,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,10973,4855adeb-ccbf-4980-bdf4-1dfb1da3797b,MEX,FUENTES ZAVALA Aremi,79.75,11,B,2,110,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,12164,a7c7d7fc-18a0-4c35-abca-fcd3ff278e91,COL,SOLIS ARBOLEDA Leidy Yessenia,80.95,0,B,1,0,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,7762,5d6e754f-a22d-4d54-9199-a97ae61237ea,AIN,KHEIDZER Darya,80.6,10,B,3,126,false
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,10973,4855adeb-ccbf-4980-bdf4-1dfb1da3797b,MEX,FUENTES ZAVALA Aremi,79.75,11,B,1,105,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,9238,e4463846-c524-4239-80a9-f1769c5babaf,CUB,MEDINA ROCA Ayamey Damiana,80.3,0,B,3,0,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,7768,67803cc4-abef-44a8-9066-96b8be53b256,JPN,NAKAJIMA Motoka,80.5,8,B,3,125,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,8647,77c66659-04e7-4ad8-97f9-c487ad39b779,TKM,GURYEVA Polina,81,0,B,3,0,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,6300,19dabb36-7d0b-4dfe-8314-f66aa8282b0a,GUA,DE LEON CARDOZA Beverly Shanen,76.2,12,B,2,94,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,10973,4855adeb-ccbf-4980-bdf4-1dfb1da3797b,MEX,FUENTES ZAVALA Aremi,79.75,11,B,3,112,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,9238,e4463846-c524-4239-80a9-f1769c5babaf,CUB,MEDINA ROCA Ayamey Damiana,80.3,0,B,1,0,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,7768,67803cc4-abef-44a8-9066-96b8be53b256,JPN,NAKAJIMA Motoka,80.5,8,B,2,120,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,7762,5d6e754f-a22d-4d54-9199-a97ae61237ea,AIN,KHEIDZER Darya,80.6,10,B,1,115,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,8973,c9f254cd-c062-428b-9deb-87d78271e893,NOR,KOANDA Solfrid Eila Amena,80.7,1,A,1,144,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,8973,c9f254cd-c062-428b-9deb-87d78271e893,NOR,KOANDA Solfrid Eila Amena,80.7,1,A,2,149,false
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,9158,e4f25168-2f16-4f45-9582-136935a4cfda,ECU,DAJOMES BARRERA Neisi Patricia,79.75,3,A,2,142,true
WEIGHTLIFTING,2023,iwf.sport,574,IWF Grand Prix I,57c76c53-e274-43d9-9b03-0e2c2246d051,71_KG,WOMEN,2023-06-08,8973,c9f254cd-c062-428b-9deb-87d78271e893,NOR,KOANDA Solfrid Eila Amena,80.7,1,A,3,150,true
