Sport,Season,Competition,EventID,EventNameShort,EventGender,CompetitionDate,PersonAgeDays,PersonID,Country,Competitor,Rank
Weightlifting,2023,IWF Grand Prix,100017471,55kg ,Men,6/8/2023,8735,2032140,CUB,Osmel Argote Castillo,1
Weightlifting,2023,IWF Grand Prix,100017471,55kg ,Men,6/8/2023,8789,1273721,GUA,José Ical,2
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,8541,1645503,INA,Ricko Saputra,1
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,7664,2059442,MAS,Mohamad Aniq Kasdan,6
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,11262,844913,ESP,Josue Brachi,13
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,11049,858502,TPE,Kao Chan-Hung,7
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,10319,1093510,PER,Luis Bardalez,9
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,10657,1144450,MAS,Aznil Bidin,4
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,9145,1163106,ECU,Jesús Garrido,8
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,7984,1546725,THA,Natthawat Chomchuen,10
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,8541,1583387,GUA,Henry Eduardo Esquivel Morales,14
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,8943,1666653,RUS,Henadz Laptseu,5
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,8870,1745450,CUB,Arley Lazaro Calderon Licourt,3
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,7053,1813870,USA,Hampton Morris,2
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,6540,2198822,TUR,Mustafa Elis,12
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,8136,2198851,CAN,Youri Simard,11
Weightlifting,2023,IWF Grand Prix,100017474,61kg ,Men,6/9/2023,7883,2323551,CUB,Raibet Orelvis Machado Olivera,15
Weightlifting,2023,IWF Grand Prix,100017477,67kg ,Men,6/11/2023,12375,636333,INA,Eko Yuli Irawan,1
Weightlifting,2023,IWF Grand Prix,100017477,67kg ,Men,6/11/2023,11481,859784,COL,Francisco Mosquera,2
Weightlifting,2023,IWF Grand Prix,100017477,67kg ,Men,6/11/2023,7806,1645514,ITA,Sergio Massidda,3
Weightlifting,2023,IWF Grand Prix,100017477,67kg ,Men,6/11/2023,8545,1645481,INA,Mohammad Yasin,4
Weightlifting,2023,IWF Grand Prix,100017477,67kg ,Men,6/11/2023,8948,2092644,CUB,Reydiel Herrera Vega,5
Weightlifting,2023,IWF Grand Prix,100017477,67kg ,Men,6/11/2023,9574,1925497,VEN,Wilkeiner Lugo,6
Weightlifting,2023,IWF Grand Prix,100017477,67kg ,Men,6/11/2023,10683,857550,COL,Jhon Serna Mendoza,7
Weightlifting,2023,IWF Grand Prix,100017477,67kg ,Men,6/11/2023,9423,1273594,GUA,Dario Cruz,8
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,7739,1813769,USA,Ryan Grimsland,1
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,12075,607608,FRA,Bernardin Kingue Matam,8
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,9357,1187193,NCA,Orlando Vásquez,14
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,9837,1263434,CAN,Nicolas Vachon,10
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,9504,1271128,HON,Jorge Hernández,13
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,8173,1415770,TUR,Furkan Özbek,2
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,9547,1497911,MEX,Jorge Cárdenas,9
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,8854,1513188,GUA,Henry Méndez,17
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,8600,1547969,MAS,Erry Hidayat,11
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,11195,1745434,DOM,Julio Cesar Cedeño,7
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,10712,1794639,NCA,Armando Britton,16
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,7828,1821600,AZE,Omar Javadov,6
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,7131,1958375,ESP,Ismail Jamali Boulaayoun,12
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,8251,2032326,ECU,Jair Reyes,5
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,7650,2085890,CHI,Sergio Cares Valdes,15
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,11350,2192641,PUR,Concepcion Cruz,18
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,7306,2198795,RUS,Andrei Fralou,3
Weightlifting,2023,IWF Grand Prix,100017480,73kg ,Men,6/11/2023,7071,2295223,USA,Caden Cahoy,4
Weightlifting,2023,IWF Grand Prix,100017483,81kg ,Men,6/13/2023,8278,1645500,INA,Rahmat Abdullah,1
Weightlifting,2023,IWF Grand Prix,100017483,81kg ,Men,6/13/2023,7161,1790255,TKM,Gaygysyz Torayev,2
Weightlifting,2023,IWF Grand Prix,100017483,81kg ,Men,6/13/2023,8322,1818361,CAN,Samuel Guertin,3
